Change Component Footprint: Designator=C18 Old Footprint=CAP0805 New Footprint=CAP0402
Change component parameters: Designator = "C18" ("C18"); Footprint = "CAP0805"; UniqueID = "\VXLQHOQK\DQSEEAYI\VGNHTQKI" ("\VXLQHOQK\DQSEEAYI\VGNHTQKI")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "DataSheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/filter/ceramic-capacitors/60?s=N4IgTCBcDaIMIAYAsCxyQdiQaQBwCUBBOEAXQF8g"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "ProductPage"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://www.kemet.com/en/us/product/C0805C474K4RACTU.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Kemet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "C0603C474K4RAC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "0.47uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "10 V"; VariantName = "[No Variations]"
