Change Component Footprint: Designator=R45 Old Footprint=RES0603 New Footprint=RES0402
Change Component Comment : Designator=R45 Old Comment=31.6 K New Comment=31.6k
Change component parameters: Designator = "R45" ("R45"); Footprint = "RES0603"; UniqueID = "\VXLQHOQK\NVCPDEBQ\GWROWYDA" ("\VXLQHOQK\NVCPDEBQ\GWROWYDA")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "DataSheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.vishay.com/docs/20035/dcrcwe3.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.digikey.com/en/products/filter/chip-resistor-surface-mount/52?s=N4IgTCBcDaIMICU4HUAMAWVYDMBGA0gGwBi%20IAugL5A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PartNumber"; Value = "CRCW040231K6FK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power"; Value = "0.063W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size"; Value = "0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "31.6k"; VariantName = "[No Variations]"
